,Index,Buy,Sell,Rate
2020-04-07 09:15:45,99.9,1230.6,1207.2,1218.9
2020-04-07 09:17:36,99.9,1230.9,1207.5,1219.2
2020-04-07 09:18:04,99.9,1231.4,1208.0,1219.7
2020-04-07 09:18:35,99.9,1231.7,1208.3,1220.0
2020-04-07 09:20:02,99.9,1231.4,1208.0,1219.7
2020-04-07 09:23:12,99.9,1231.7,1208.3,1220.0
2020-04-07 09:28:00,99.9,1232.5,1209.1,1220.8
2020-04-07 09:35:45,99.9,1232.4,1209.0,1220.7
2020-04-07 09:36:36,99.9,1232.6,1209.2,1220.9
2020-04-07 09:40:38,99.9,1232.6,1209.2,1220.9
2020-04-07 09:41:26,99.9,1232.9,1209.5,1221.2
2020-04-07 09:41:56,99.9,1233.1,1209.7,1221.4
2020-04-07 09:42:27,99.9,1233.4,1210.0,1221.7
2020-04-07 09:43:44,99.9,1233.7,1210.3,1222.0
2020-04-07 09:44:44,99.9,1234.1,1210.7,1222.4
2020-04-07 09:46:27,99.9,1233.4,1210.0,1221.7
2020-04-07 09:51:25,99.9,1233.9,1210.5,1222.2
2020-04-07 09:52:05,99.9,1234.1,1210.7,1222.4
2020-04-07 09:55:25,99.9,1233.8,1210.4,1222.1
2020-04-07 09:57:51,99.9,1233.6,1210.2,1221.9
2020-04-07 09:59:30,99.9,1233.6,1210.2,1221.9
2020-04-07 10:02:03,99.9,1233.1,1209.7,1221.4
2020-04-07 10:02:34,99.9,1233.3,1209.9,1221.6
2020-04-07 10:05:12,99.9,1234.0,1210.6,1222.3
2020-04-07 10:06:11,99.9,1234.2,1210.8,1222.5
2020-04-07 10:06:43,99.9,1234.0,1210.6,1222.3
2020-04-07 10:09:33,99.9,1234.4,1211.0,1222.7
2020-04-07 10:12:18,99.9,1234.6,1211.2,1222.9
2020-04-07 10:14:29,99.9,1234.7,1211.3,1223.0
2020-04-07 10:16:14,99.9,1234.5,1211.1,1222.8
2020-04-07 10:18:22,99.9,1234.0,1210.6,1222.3
2020-04-07 10:19:02,99.9,1233.6,1210.2,1221.9
2020-04-07 10:22:41,99.9,1232.9,1209.5,1221.2
2020-04-07 10:23:50,99.9,1232.8,1209.4,1221.1
2020-04-07 10:24:22,99.9,1233.3,1209.9,1221.6
2020-04-07 10:28:57,99.9,1233.9,1210.5,1222.2
2020-04-07 10:33:05,99.9,1233.4,1210.0,1221.7
2020-04-07 10:35:35,99.9,1233.4,1210.0,1221.7
2020-04-07 10:36:53,99.9,1232.4,1209.0,1220.7
2020-04-07 10:37:40,99.9,1232.2,1208.8,1220.5
2020-04-07 10:38:12,99.9,1232.4,1209.0,1220.7
2020-04-07 10:39:08,99.9,1232.1,1208.7,1220.4
2020-04-07 10:41:15,99.9,1232.8,1209.4,1221.1
2020-04-07 10:44:34,99.9,1232.9,1209.5,1221.2
2020-04-07 10:45:15,99.9,1232.4,1209.0,1220.7
2020-04-07 10:47:14,99.9,1232.2,1208.8,1220.5
2020-04-07 10:50:37,99.9,1231.6,1208.2,1219.9
2020-04-07 10:53:37,99.9,1232.1,1208.7,1220.4
2020-04-07 10:59:24,99.9,1232.4,1209.0,1220.7
2020-04-07 11:04:01,99.9,1231.9,1208.5,1220.2
2020-04-07 11:05:58,99.9,1232.6,1209.2,1220.9
2020-04-07 11:10:33,99.9,1232.8,1209.4,1221.1
2020-04-07 11:12:25,99.9,1233.2,1209.8,1221.5
2020-04-07 11:17:56,99.9,1233.8,1210.4,1222.1
2020-04-07 11:20:59,99.9,1234.3,1210.9,1222.6
2020-04-07 11:24:36,99.9,1234.3,1210.9,1222.6
2020-04-07 11:26:25,99.9,1234.4,1211.0,1222.7
2020-04-07 11:29:51,99.9,1233.9,1210.5,1222.2
2020-04-07 11:30:42,99.9,1234.0,1210.6,1222.3
2020-04-07 11:36:17,99.9,1234.7,1211.3,1223.0
2020-04-07 11:38:07,99.9,1234.1,1210.7,1222.4
2020-04-07 11:39:30,99.9,1233.8,1210.4,1222.1
2020-04-07 11:43:50,99.9,1233.4,1210.0,1221.7
2020-04-07 11:45:55,99.9,1233.3,1209.9,1221.6
2020-04-07 11:48:08,99.9,1234.3,1210.9,1222.6
2020-04-07 11:49:57,99.9,1234.3,1210.9,1222.6
2020-04-07 11:51:02,99.9,1234.6,1211.2,1222.9
2020-04-07 11:52:35,99.9,1234.9,1211.5,1223.2
2020-04-07 11:55:00,99.9,1235.3,1211.9,1223.6
2020-04-07 11:58:33,99.9,1235.0,1211.6,1223.3
2020-04-07 11:59:19,99.9,1234.6,1211.2,1222.9
2020-04-07 12:00:47,99.9,1235.1,1211.7,1223.4
2020-04-07 12:05:45,99.9,1234.3,1210.9,1222.6
2020-04-07 12:14:08,99.9,1234.6,1211.2,1222.9
2020-04-07 12:15:41,99.9,1235.0,1211.6,1223.3
2020-04-07 12:19:32,99.9,1235.1,1211.7,1223.4
2020-04-07 12:21:22,99.9,1234.8,1211.4,1223.1
2020-04-07 12:24:44,99.9,1234.4,1211.0,1222.7
2020-04-07 12:27:47,99.9,1234.6,1211.2,1222.9
2020-04-07 12:29:11,99.9,1234.2,1210.8,1222.5
2020-04-07 12:33:10,99.9,1234.9,1211.5,1223.2
2020-04-07 12:34:46,99.9,1235.1,1211.7,1223.4
2020-04-07 12:45:06,99.9,1235.5,1212.1,1223.8
2020-04-07 12:46:42,99.9,1236.3,1212.9,1224.6
2020-04-07 12:47:50,99.9,1236.0,1212.6,1224.3
2020-04-07 12:55:15,99.9,1236.5,1213.1,1224.8
2020-04-07 12:56:41,99.9,1236.2,1212.8,1224.5
2020-04-07 13:03:00,99.9,1235.8,1212.4,1224.1
2020-04-07 13:07:37,99.9,1236.1,1212.7,1224.4
2020-04-07 13:14:36,99.9,1236.5,1213.1,1224.8
2020-04-07 13:18:07,99.9,1236.2,1212.8,1224.5
2020-04-07 13:19:23,99.9,1235.9,1212.5,1224.2
2020-04-07 13:20:58,99.9,1236.1,1212.7,1224.4
2020-04-07 13:22:39,99.9,1235.7,1212.3,1224.0
2020-04-07 13:27:40,99.9,1235.8,1212.4,1224.1
2020-04-07 13:28:10,99.9,1236.1,1212.7,1224.4
2020-04-07 13:30:49,99.9,1235.9,1212.5,1224.2
2020-04-07 13:31:51,99.9,1236.1,1212.7,1224.4
2020-04-07 13:32:56,99.9,1236.4,1213.0,1224.7
2020-04-07 13:36:33,99.9,1236.0,1212.6,1224.3
2020-04-07 13:38:54,99.9,1235.7,1212.3,1224.0
2020-04-07 13:40:51,99.9,1235.3,1211.9,1223.6
2020-04-07 13:44:00,99.9,1235.9,1212.5,1224.2
2020-04-07 13:45:42,99.9,1235.6,1212.2,1223.9
2020-04-07 13:49:58,99.9,1235.3,1211.9,1223.6
2020-04-07 13:50:53,99.9,1234.7,1211.3,1223.0
2020-04-07 13:52:03,99.9,1234.7,1211.3,1223.0
2020-04-07 13:53:48,99.9,1235.1,1211.7,1223.4
2020-04-07 13:54:22,99.9,1235.3,1211.9,1223.6
2020-04-07 13:58:43,99.9,1235.2,1211.8,1223.5
2020-04-07 13:59:39,99.9,1234.8,1211.4,1223.1
2020-04-07 14:00:19,99.9,1234.4,1211.0,1222.7
2020-04-07 14:02:14,99.9,1235.4,1212.0,1223.7
2020-04-07 14:06:01,99.9,1235.0,1211.6,1223.3
2020-04-07 14:11:08,99.9,1235.4,1212.0,1223.7
2020-04-07 14:12:21,99.9,1235.8,1212.4,1224.1
2020-04-07 14:13:14,99.9,1235.4,1212.0,1223.7
2020-04-07 14:14:02,99.9,1235.8,1212.4,1224.1
2020-04-07 14:18:26,99.9,1235.3,1211.9,1223.6
2020-04-07 14:22:25,99.9,1235.5,1212.1,1223.8
2020-04-07 14:36:00,99.9,1235.1,1211.7,1223.4
2020-04-07 14:42:47,99.9,1235.1,1211.7,1223.4
2020-04-07 14:44:06,99.9,1234.7,1211.3,1223.0
2020-04-07 14:47:00,99.9,1234.2,1210.8,1222.5
2020-04-07 14:49:36,99.9,1234.5,1211.1,1222.8
2020-04-07 14:50:50,99.9,1234.7,1211.3,1223.0
2020-04-07 14:52:01,99.9,1234.8,1211.4,1223.1
2020-04-07 14:56:41,99.9,1234.4,1211.0,1222.7
2020-04-07 14:58:08,99.9,1234.6,1211.2,1222.9
2020-04-07 14:58:59,99.9,1235.1,1211.7,1223.4
2020-04-07 14:59:57,99.9,1235.5,1212.1,1223.8
2020-04-07 15:01:25,99.9,1235.1,1211.7,1223.4
2020-04-07 15:04:57,99.9,1234.7,1211.3,1223.0
2020-04-07 15:05:51,99.9,1234.9,1211.5,1223.2
2020-04-07 15:08:55,99.9,1234.9,1211.5,1223.2
2020-04-07 15:14:56,99.9,1234.5,1211.1,1222.8
2020-04-07 15:16:08,99.9,1234.1,1210.7,1222.4
2020-04-07 15:17:28,99.9,1233.6,1210.2,1221.9
2020-04-07 15:18:31,99.9,1233.2,1209.8,1221.5
2020-04-07 15:19:55,99.9,1232.9,1209.5,1221.2
